Zona;Localidade;Bairro;Nr Local;Local de Votação;Endereço;Seção;Agregadas;Qtd Aptos
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;600; ;216
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;601; ;306
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;602; ;303
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;603; ;305
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;604; ;308
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;605; ;309
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;606; ;300
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;607; ;301
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;608; ;303
1;BOA VISTA;ASA BRANCA;3441;PROFESSORA CARMEM EUGENIA MACAGI E.E.F.;AVENIDA NOSSA SENHORA DE NAZARE, 3351 - 3626 1762;610; ;296
1;BOA VISTA;ASA BRANCA;3646;MAJOR ALCIDES RODRIGUES DOS SANTOS E.E.P.G.;AVENIDA DOS IMIGRANTES S/N;713; ;344
1;BOA VISTA;ASA BRANCA;3646;MAJOR ALCIDES RODRIGUES DOS SANTOS E.E.P.G.;AVENIDA DOS IMIGRANTES S/N;714; ;344
1;BOA VISTA;ASA BRANCA;3646;MAJOR ALCIDES RODRIGUES DOS SANTOS E.E.P.G.;AVENIDA DOS IMIGRANTES S/N;715; ;343
1;BOA VISTA;ASA BRANCA;3646;MAJOR ALCIDES RODRIGUES DOS SANTOS E.E.P.G.;AVENIDA DOS IMIGRANTES S/N;716; ;347
1;BOA VISTA;ASA BRANCA;3646;MAJOR ALCIDES RODRIGUES DOS SANTOS E.E.P.G.;AVENIDA DOS IMIGRANTES S/N;717; ;343
1;BOA VISTA;ASA BRANCA;3646;MAJOR ALCIDES RODRIGUES DOS SANTOS E.E.P.G.;AVENIDA DOS IMIGRANTES S/N;718; ;343
1;BOA VISTA;ASA BRANCA;3646;MAJOR ALCIDES RODRIGUES DOS SANTOS E.E.P.G.;AVENIDA DOS IMIGRANTES S/N;719; ;340
1;BOA VISTA;ASA BRANCA;3646;MAJOR ALCIDES RODRIGUES DOS SANTOS E.E.P.G.;AVENIDA DOS IMIGRANTES S/N;720; ;337
1;BOA VISTA;ASA BRANCA;3646;MAJOR ALCIDES RODRIGUES DOS SANTOS E.E.P.G.;AVENIDA DOS IMIGRANTES S/N;789; ;187
1;BOA VISTA;BURITIS;3417;BURITIS E.P.G.;RUA ANTONIO PINHEIRO GALVAO, 837;576; ;334
1;BOA VISTA;BURITIS;3417;BURITIS E.P.G.;RUA ANTONIO PINHEIRO GALVAO, 837;577; ;335
1;BOA VISTA;BURITIS;3417;BURITIS E.P.G.;RUA ANTONIO PINHEIRO GALVAO, 837;578; ;337
1;BOA VISTA;BURITIS;3417;BURITIS E.P.G.;RUA ANTONIO PINHEIRO GALVAO, 837;579; ;341
1;BOA VISTA;BURITIS;3417;BURITIS E.P.G.;RUA ANTONIO PINHEIRO GALVAO, 837;580; ;340
1;BOA VISTA;BURITIS;3417;BURITIS E.P.G.;RUA ANTONIO PINHEIRO GALVAO, 837;581; ;338
1;BOA VISTA;BURITIS;3417;BURITIS E.P.G.;RUA ANTONIO PINHEIRO GALVAO, 837;582; ;334
1;BOA VISTA;BURITIS;3417;BURITIS E.P.G.;RUA ANTONIO PINHEIRO GALVAO, 837;583; ;336
1;BOA VISTA;BURITIS;3417;BURITIS E.P.G.;RUA ANTONIO PINHEIRO GALVAO, 837;584; ;339
1;BOA VISTA;BURITIS;3590;CUNHATA CURUMIN E.E.;RUA JOÃO PADEIRO, 608 - 3625 3754 (PÚBLICO);686; ;263
1;BOA VISTA;BURITIS;3590;CUNHATA CURUMIN E.E.;RUA JOÃO PADEIRO, 608 - 3625 3754 (PÚBLICO);687; ;266
1;BOA VISTA;BURITIS;3590;CUNHATA CURUMIN E.E.;RUA JOÃO PADEIRO, 608 - 3625 3754 (PÚBLICO);688; ;266
1;BOA VISTA;BURITIS;3590;CUNHATA CURUMIN E.E.;RUA JOÃO PADEIRO, 608 - 3625 3754 (PÚBLICO);689; ;267
1;BOA VISTA;BURITIS;3590;CUNHATA CURUMIN E.E.;RUA JOÃO PADEIRO, 608 - 3625 3754 (PÚBLICO);690; ;263
1;BOA VISTA;BURITIS;3590;CUNHATA CURUMIN E.E.;RUA JOÃO PADEIRO, 608 - 3625 3754 (PÚBLICO);691; ;264
1;BOA VISTA;BURITIS;3620;GIRASSOL E.E.F.;RUA JANGO DE MENEZES 1.082;704; ;343
1;BOA VISTA;BURITIS;3620;GIRASSOL E.E.F.;RUA JANGO DE MENEZES 1.082;705; ;341
1;BOA VISTA;BURITIS;3620;GIRASSOL E.E.F.;RUA JANGO DE MENEZES 1.082;706; ;341
1;BOA VISTA;BURITIS;3620;GIRASSOL E.E.F.;RUA JANGO DE MENEZES 1.082;707; ;343
1;BOA VISTA;BURITIS;3620;GIRASSOL E.E.F.;RUA JANGO DE MENEZES 1.082;708; ;342
1;BOA VISTA;BURITIS;3620;GIRASSOL E.E.F.;RUA JANGO DE MENEZES 1.082;709;794;390
1;BOA VISTA;CAIMBÉ;3603;UNIP;AV. MARIO HOMEM DE MELO, 5008;692; ;350
1;BOA VISTA;CAIMBÉ;3603;UNIP;AV. MARIO HOMEM DE MELO, 5008;693; ;350
1;BOA VISTA;CAIMBÉ;3603;UNIP;AV. MARIO HOMEM DE MELO, 5008;694; ;341
1;BOA VISTA;CAIMBÉ;3603;UNIP;AV. MARIO HOMEM DE MELO, 5008;695; ;346
1;BOA VISTA;CAIMBÉ;3603;UNIP;AV. MARIO HOMEM DE MELO, 5008;696; ;342
1;BOA VISTA;CAIMBÉ;3603;UNIP;AV. MARIO HOMEM DE MELO, 5008;697; ;344
1;BOA VISTA;CAIMBÉ;3603;UNIP;AV. MARIO HOMEM DE MELO, 5008;698; ;350
1;BOA VISTA;CAIMBÉ;3603;UNIP;AV. MARIO HOMEM DE MELO, 5008;699; ;342
1;BOA VISTA;CAIMBÉ;3603;UNIP;AV. MARIO HOMEM DE MELO, 5008;700; ;340
1;BOA VISTA;CAIMBÉ;3603;UNIP;AV. MARIO HOMEM DE MELO, 5008;784; ;233
1;BOA VISTA;CAIMBÉ;3638;VOVÓ JÚLIA E.E.;AV. MARIO HOMEM DE MELO, 4.665;710; ;363
1;BOA VISTA;CAIMBÉ;3638;VOVÓ JÚLIA E.E.;AV. MARIO HOMEM DE MELO, 4.665;711; ;361
1;BOA VISTA;CAIMBÉ;3638;VOVÓ JÚLIA E.E.;AV. MARIO HOMEM DE MELO, 4.665;712; ;355
1;BOA VISTA;CAIMBÉ;3638;VOVÓ JÚLIA E.E.;AV. MARIO HOMEM DE MELO, 4.665;790; ;114
1;BOA VISTA;CALUNGÁ;3760;ESCOLA MUNICIPAL NEWTON TAVARES;AV. CASTELO BRANCO, S/N;20; ;212
1;BOA VISTA;CALUNGÁ;3760;ESCOLA MUNICIPAL NEWTON TAVARES;AV. CASTELO BRANCO, S/N;176; ;220
1;BOA VISTA;CALUNGÁ;3760;ESCOLA MUNICIPAL NEWTON TAVARES;AV. CASTELO BRANCO, S/N;177; ;219
1;BOA VISTA;CALUNGÁ;3760;ESCOLA MUNICIPAL NEWTON TAVARES;AV. CASTELO BRANCO, S/N;211; ;222
1;BOA VISTA;CALUNGÁ;3760;ESCOLA MUNICIPAL NEWTON TAVARES;AV. CASTELO BRANCO, S/N;363; ;214
1;BOA VISTA;CALUNGÁ;3760;ESCOLA MUNICIPAL NEWTON TAVARES;AV. CASTELO BRANCO, S/N;775;155;368
1;BOA VISTA;CANARINHO;1163;U.E.R.R. UNIVERSIDADE ESTADUAL DE RORAIMA;RUA 7 DE SETEMBRO, 231;22; ;302
1;BOA VISTA;CANARINHO;1163;U.E.R.R. UNIVERSIDADE ESTADUAL DE RORAIMA;RUA 7 DE SETEMBRO, 231;179; ;299
1;BOA VISTA;CANARINHO;1163;U.E.R.R. UNIVERSIDADE ESTADUAL DE RORAIMA;RUA 7 DE SETEMBRO, 231;276; ;301
1;BOA VISTA;CANARINHO;1481;GONCALVES DIAS E.E.;AVENIDA GETULIO VARGAS, 4333;7; ;274
1;BOA VISTA;CANARINHO;1481;GONCALVES DIAS E.E.;AVENIDA GETULIO VARGAS, 4333;53; ;270
1;BOA VISTA;CANARINHO;1481;GONCALVES DIAS E.E.;AVENIDA GETULIO VARGAS, 4333;167; ;269
1;BOA VISTA;CANARINHO;1481;GONCALVES DIAS E.E.;AVENIDA GETULIO VARGAS, 4333;208; ;275
1;BOA VISTA;CANARINHO;1481;GONCALVES DIAS E.E.;AVENIDA GETULIO VARGAS, 4333;209; ;270
1;BOA VISTA;CANARINHO;1481;GONCALVES DIAS E.E.;AVENIDA GETULIO VARGAS, 4333;210; ;274
1;BOA VISTA;CANARINHO;1481;GONCALVES DIAS E.E.;AVENIDA GETULIO VARGAS, 4333;340; ;271
1;BOA VISTA;CARANÃ;3557;PASTOR FERNANDO GRANGEIRO DE MENEZES E.E.;RUA EMILIA DA SILVA LAVOR, 1535;670; ;335
1;BOA VISTA;CARANÃ;3557;PASTOR FERNANDO GRANGEIRO DE MENEZES E.E.;RUA EMILIA DA SILVA LAVOR, 1535;671; ;339
1;BOA VISTA;CARANÃ;3557;PASTOR FERNANDO GRANGEIRO DE MENEZES E.E.;RUA EMILIA DA SILVA LAVOR, 1535;672; ;328
1;BOA VISTA;CARANÃ;3557;PASTOR FERNANDO GRANGEIRO DE MENEZES E.E.;RUA EMILIA DA SILVA LAVOR, 1535;673; ;332
1;BOA VISTA;CARANÃ;3557;PASTOR FERNANDO GRANGEIRO DE MENEZES E.E.;RUA EMILIA DA SILVA LAVOR, 1535;786; ;175
1;BOA VISTA;CARANÃ;3565;PEQUENO PRINCIPE E.E.;RUA JOCA FARIAS 1.018;674; ;346
1;BOA VISTA;CARANÃ;3565;PEQUENO PRINCIPE E.E.;RUA JOCA FARIAS 1.018;675; ;339
1;BOA VISTA;CARANÃ;3565;PEQUENO PRINCIPE E.E.;RUA JOCA FARIAS 1.018;676; ;342
1;BOA VISTA;CARANÃ;3565;PEQUENO PRINCIPE E.E.;RUA JOCA FARIAS 1.018;677; ;348
1;BOA VISTA;CARANÃ;3565;PEQUENO PRINCIPE E.E.;RUA JOCA FARIAS 1.018;678; ;337
1;BOA VISTA;CARANÃ;3565;PEQUENO PRINCIPE E.E.;RUA JOCA FARIAS 1.018;770; ;335
1;BOA VISTA;CARANÃ;3697;MARIA GONCALVES VIEIRA E.M.E.F.;RUA JOCA FARIAS, 1776;736; ;268
1;BOA VISTA;CARANÃ;3697;MARIA GONCALVES VIEIRA E.M.E.F.;RUA JOCA FARIAS, 1776;737; ;232
1;BOA VISTA;CARANÃ;3697;MARIA GONCALVES VIEIRA E.M.E.F.;RUA JOCA FARIAS, 1776;738; ;331
1;BOA VISTA;CARANÃ;3697;MARIA GONCALVES VIEIRA E.M.E.F.;RUA JOCA FARIAS, 1776;739; ;240
1;BOA VISTA;CARANÃ;3700;SONHO INFANTIL E.M.;RUA DECO FONTELE 622 - 3626 9533;740; ;248
1;BOA VISTA;CARANÃ;3719;JESUS NAZARENO DE SOUZA CRUZ E.P.S.G.;RUA MANOEL SABINO DOS SANTOS, 36;741; ;331
1;BOA VISTA;CARANÃ;3719;JESUS NAZARENO DE SOUZA CRUZ E.P.S.G.;RUA MANOEL SABINO DOS SANTOS, 36;742; ;326
1;BOA VISTA;CARANÃ;3719;JESUS NAZARENO DE SOUZA CRUZ E.P.S.G.;RUA MANOEL SABINO DOS SANTOS, 36;743; ;329
1;BOA VISTA;CARANÃ;3719;JESUS NAZARENO DE SOUZA CRUZ E.P.S.G.;RUA MANOEL SABINO DOS SANTOS, 36;744; ;331
1;BOA VISTA;CARANÃ;3719;JESUS NAZARENO DE SOUZA CRUZ E.P.S.G.;RUA MANOEL SABINO DOS SANTOS, 36;745; ;326
1;BOA VISTA;CARANÃ;3719;JESUS NAZARENO DE SOUZA CRUZ E.P.S.G.;RUA MANOEL SABINO DOS SANTOS, 36;746; ;333
1;BOA VISTA;CARANÃ;3719;JESUS NAZARENO DE SOUZA CRUZ E.P.S.G.;RUA MANOEL SABINO DOS SANTOS, 36;747; ;333
1;BOA VISTA;CARANÃ;3719;JESUS NAZARENO DE SOUZA CRUZ E.P.S.G.;RUA MANOEL SABINO DOS SANTOS, 36;748; ;332
1;BOA VISTA;CARANÃ;3719;JESUS NAZARENO DE SOUZA CRUZ E.P.S.G.;RUA MANOEL SABINO DOS SANTOS, 36;749; ;326
1;BOA VISTA;CARANÃ;3719;JESUS NAZARENO DE SOUZA CRUZ E.P.S.G.;RUA MANOEL SABINO DOS SANTOS, 36;777; ;328
1;BOA VISTA;CAUAMÉ;3409;MARTINHA THURY VIEIRA E.M.P.E.;RUA ROMENIA, 146;571; ;330
1;BOA VISTA;CAUAMÉ;3409;MARTINHA THURY VIEIRA E.M.P.E.;RUA ROMENIA, 146;572; ;319
1;BOA VISTA;CAUAMÉ;3409;MARTINHA THURY VIEIRA E.M.P.E.;RUA ROMENIA, 146;573; ;317
1;BOA VISTA;CAUAMÉ;3409;MARTINHA THURY VIEIRA E.M.P.E.;RUA ROMENIA, 146;574; ;323
1;BOA VISTA;CAUAMÉ;3409;MARTINHA THURY VIEIRA E.M.P.E.;RUA ROMENIA, 146;575; ;316
1;BOA VISTA;CAUAMÉ;3573;JAEL DA SILVA BARRADAS C.E.I.;RUA GUATEMALA, 198 CRUCE CON RUA URUGUAI;679; ;295
1;BOA VISTA;CAUAMÉ;3573;JAEL DA SILVA BARRADAS C.E.I.;RUA GUATEMALA, 198 CRUCE CON RUA URUGUAI;680; ;311
1;BOA VISTA;CAUAMÉ;3573;JAEL DA SILVA BARRADAS C.E.I.;RUA GUATEMALA, 198 CRUCE CON RUA URUGUAI;681; ;294
1;BOA VISTA;CAUAMÉ;3735;COLÉGIO EST. MILITARIZADO PROF.ª MARIA NILCE MACEDO BRANDAO E.P.G.;RUA SUICA, 410;760; ;316
1;BOA VISTA;CAUAMÉ;3735;COLÉGIO EST. MILITARIZADO PROF.ª MARIA NILCE MACEDO BRANDAO E.P.G.;RUA SUICA, 410;761; ;325
1;BOA VISTA;CAUAMÉ;3735;COLÉGIO EST. MILITARIZADO PROF.ª MARIA NILCE MACEDO BRANDAO E.P.G.;RUA SUICA, 410;762; ;325
1;BOA VISTA;CAUAMÉ;3735;COLÉGIO EST. MILITARIZADO PROF.ª MARIA NILCE MACEDO BRANDAO E.P.G.;RUA SUICA, 410;763; ;313
1;BOA VISTA;CAUAMÉ;3735;COLÉGIO EST. MILITARIZADO PROF.ª MARIA NILCE MACEDO BRANDAO E.P.G.;RUA SUICA, 410;764; ;323
1;BOA VISTA;CAUAMÉ;3735;COLÉGIO EST. MILITARIZADO PROF.ª MARIA NILCE MACEDO BRANDAO E.P.G.;RUA SUICA, 410;765; ;318
1;BOA VISTA;CAUAMÉ;3735;COLÉGIO EST. MILITARIZADO PROF.ª MARIA NILCE MACEDO BRANDAO E.P.G.;RUA SUICA, 410;766; ;318
1;BOA VISTA;CAÇARI;3220;FACULDADE CATHEDRAL;AV. LUIS CANUTO CHAVES;517; ;363
1;BOA VISTA;CAÇARI;3220;FACULDADE CATHEDRAL;AV. LUIS CANUTO CHAVES;533; ;351
1;BOA VISTA;CAÇARI;3220;FACULDADE CATHEDRAL;AV. LUIS CANUTO CHAVES;535; ;349
1;BOA VISTA;CAÇARI;3220;FACULDADE CATHEDRAL;AV. LUIS CANUTO CHAVES;536; ;356
1;BOA VISTA;CAÇARI;3220;FACULDADE CATHEDRAL;AV. LUIS CANUTO CHAVES;546; ;351
1;BOA VISTA;CAÇARI;3220;FACULDADE CATHEDRAL;AV. LUIS CANUTO CHAVES;554; ;360
1;BOA VISTA;CAÇARI;3220;FACULDADE CATHEDRAL;AV. LUIS CANUTO CHAVES;556; ;361
1;BOA VISTA;CAÇARI;3220;FACULDADE CATHEDRAL;AV. LUIS CANUTO CHAVES;559; ;341
1;BOA VISTA;CAÇARI;3220;FACULDADE CATHEDRAL;AV. LUIS CANUTO CHAVES;564; ;346
1;BOA VISTA;CAÇARI;3220;FACULDADE CATHEDRAL;AV. LUIS CANUTO CHAVES;769; ;353
1;BOA VISTA;CAÇARI;3220;FACULDADE CATHEDRAL;AV. LUIS CANUTO CHAVES;779; ;349
1;BOA VISTA;CAÇARI;3344;ARCO-IRIS E.M.;RUA MASSARANDUBA, 1551;547; ;388
1;BOA VISTA;CAÇARI;3344;ARCO-IRIS E.M.;RUA MASSARANDUBA, 1551;555; ;394
1;BOA VISTA;CAÇARI;3344;ARCO-IRIS E.M.;RUA MASSARANDUBA, 1551;560; ;391
1;BOA VISTA;CAÇARI;3344;ARCO-IRIS E.M.;RUA MASSARANDUBA, 1551;767; ;391
1;BOA VISTA;CENTENÁRIO;3506;DELACIR DE MELO LIMA E.M.;RUA SANTO AGOSTINHO, 173;631; ;342
1;BOA VISTA;CENTENÁRIO;3506;DELACIR DE MELO LIMA E.M.;RUA SANTO AGOSTINHO, 173;632; ;348
1;BOA VISTA;CENTENÁRIO;3506;DELACIR DE MELO LIMA E.M.;RUA SANTO AGOSTINHO, 173;633; ;342
1;BOA VISTA;CENTENÁRIO;3506;DELACIR DE MELO LIMA E.M.;RUA SANTO AGOSTINHO, 173;634; ;344
1;BOA VISTA;CENTENÁRIO;3506;DELACIR DE MELO LIMA E.M.;RUA SANTO AGOSTINHO, 173;635; ;326
1;BOA VISTA;CENTENÁRIO;3506;DELACIR DE MELO LIMA E.M.;RUA SANTO AGOSTINHO, 173;636; ;340
1;BOA VISTA;CENTENÁRIO;3506;DELACIR DE MELO LIMA E.M.;RUA SANTO AGOSTINHO, 173;637; ;351
1;BOA VISTA;CENTENÁRIO;3506;DELACIR DE MELO LIMA E.M.;RUA SANTO AGOSTINHO, 173;638; ;344
1;BOA VISTA;CENTENÁRIO;3506;DELACIR DE MELO LIMA E.M.;RUA SANTO AGOSTINHO, 173;782; ;270
1;BOA VISTA;CENTRO;1716;EUCLIDES DA CUNHA E.E.;RUA INÁCIO MAGALHÃES COM BENTO BRASIL, 112W;80; ;211
1;BOA VISTA;CENTRO;1716;EUCLIDES DA CUNHA E.E.;RUA INÁCIO MAGALHÃES COM BENTO BRASIL, 112W;205; ;210
1;BOA VISTA;CENTRO;1716;EUCLIDES DA CUNHA E.E.;RUA INÁCIO MAGALHÃES COM BENTO BRASIL, 112W;502; ;210
1;BOA VISTA;CENTRO;1732;MONTEIRO LOBATO E.E.;RUA CECÍLIA BRASIL, 1506;81; ;254
1;BOA VISTA;CENTRO;1732;MONTEIRO LOBATO E.E.;RUA CECÍLIA BRASIL, 1506;92; ;251
1;BOA VISTA;CENTRO;1732;MONTEIRO LOBATO E.E.;RUA CECÍLIA BRASIL, 1506;93; ;251
1;BOA VISTA;CENTRO;1732;MONTEIRO LOBATO E.E.;RUA CECÍLIA BRASIL, 1506;100; ;247
1;BOA VISTA;CENTRO;1732;MONTEIRO LOBATO E.E.;RUA CECÍLIA BRASIL, 1506;101; ;248
1;BOA VISTA;CENTRO;1732;MONTEIRO LOBATO E.E.;RUA CECÍLIA BRASIL, 1506;187; ;249
1;BOA VISTA;CENTRO;1732;MONTEIRO LOBATO E.E.;RUA CECÍLIA BRASIL, 1506;189; ;248
1;BOA VISTA;CENTRO;1732;MONTEIRO LOBATO E.E.;RUA CECÍLIA BRASIL, 1506;242; ;251
1;BOA VISTA;CENTRO;1759;SAO JOSE E.E.;RUA FLORIANO PEIXOTO, 346 - 3623 3074 - ORELHÃO;75;83;343
1;BOA VISTA;CENTRO;1759;SAO JOSE E.E.;RUA FLORIANO PEIXOTO, 346 - 3623 3074 - ORELHÃO;85;86;301
1;BOA VISTA;CENTRO;1759;SAO JOSE E.E.;RUA FLORIANO PEIXOTO, 346 - 3623 3074 - ORELHÃO;98;102;301
1;BOA VISTA;CENTRO;1759;SAO JOSE E.E.;RUA FLORIANO PEIXOTO, 346 - 3623 3074 - ORELHÃO;117;358;348
1;BOA VISTA;CENTRO;1775;LOBO D'ALMADA E.E.;AV. BENJAMIM CONSTANT, 1453;74;84;294
1;BOA VISTA;CENTRO;1775;LOBO D'ALMADA E.E.;AV. BENJAMIM CONSTANT, 1453;96;97;294
1;BOA VISTA;CENTRO;1775;LOBO D'ALMADA E.E.;AV. BENJAMIM CONSTANT, 1453;186;190;294
1;BOA VISTA;CENTRO;1775;LOBO D'ALMADA E.E.;AV. BENJAMIM CONSTANT, 1453;383;545;294
1;BOA VISTA;CENTRO;1775;LOBO D'ALMADA E.E.;AV. BENJAMIM CONSTANT, 1453;796; ;0
1;BOA VISTA;CENTRO;1775;LOBO D'ALMADA E.E.;AV. BENJAMIM CONSTANT, 1453;798; ;0
1;BOA VISTA;CENTRO;1775;LOBO D'ALMADA E.E.;AV. BENJAMIM CONSTANT, 1453;799; ;0
